id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta
7736332BAEcobici,890,2020-05-18 06:50:30 UTC,186BAEcobici,186 - MANZANA 66,2875 Moreno,-58.4064415,-34.6136356,2020-05-18 07:05:20 UTC,46BAEcobici,046 - Chile,"Calle Perú, 718",-58.3743749,-34.6163012,665825BAEcobici,ICONIC
7736924BAEcobici,352,2020-05-18 12:16:21 UTC,32BAEcobici,032 - Catedral,67 San Martin,-58.3735984,-34.6072074,2020-05-18 12:22:13 UTC,46BAEcobici,046 - Chile,"Calle Perú, 718",-58.3743749,-34.6163012,665825BAEcobici,ICONIC
7736870BAEcobici,553,2020-05-18 11:52:06 UTC,46BAEcobici,046 - Chile,"Calle Perú, 718",-58.3743749,-34.6163012,2020-05-18 12:01:19 UTC,40BAEcobici,040 - Sarmiento,Sarmiento 481,-58.373499,-34.604461,665825BAEcobici,ICONIC
7737862BAEcobici,1105,2020-05-18 18:21:03 UTC,46BAEcobici,046 - Chile,"Calle Perú, 718",-58.3743749,-34.6163012,2020-05-18 18:39:28 UTC,186BAEcobici,186 - MANZANA 66,2875 Moreno,-58.4064415,-34.6136356,665825BAEcobici,ICONIC
7737299BAEcobici,1528,2020-05-18 14:57:29 UTC,227BAEcobici,188 - Aranguren,"137 Aranguren, Juan F., Dr. & Portugal",-58.432786,-34.610456,2020-05-18 15:22:57 UTC,281BAEcobici,350 - Plaza Irlanda,Av. Gaona 2200,-58.458315,-34.613778,340594BAEcobici,ICONIC
7737377BAEcobici,1683,2020-05-18 15:25:37 UTC,80BAEcobici,080 - DOBLAS,608 Doblas & Valle,-58.4303766,-34.624435,2020-05-18 15:53:40 UTC,295BAEcobici,392 - Calasanz,San Jose De Calasanz & Valle,-58.437683,-34.624802,95491BAEcobici,ICONIC
7738103BAEcobici,492,2020-05-18 20:47:19 UTC,190BAEcobici,190 - JUNCAL,"Juncal & Salguero, Jeronimo",-58.4111136,-34.5850763,2020-05-18 20:55:31 UTC,70BAEcobici,070 - ARAOZ,1413 Araoz & Gorriti CABA,-58.4260597,-34.5926862,422799BAEcobici,ICONIC
7738003BAEcobici,1009,2020-05-18 19:28:18 UTC,165BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,-58.407614,-34.597048,2020-05-18 19:45:07 UTC,182BAEcobici,182 - RAVIGNANI Y GUATEMALA,"2185 Ravignani, Emilio, Dr. & Guatemala",-58.4352466,-34.5780479,267754BAEcobici,ICONIC
7737108BAEcobici,896,2020-05-18 13:46:50 UTC,308BAEcobici,251 - Solar de la Abadía,Maure 1819,-58.436752,-34.567633,2020-05-18 14:01:46 UTC,259BAEcobici,290 - Club Excursionistas,Miñones 1818,-58.4434052,-34.5580469,220902BAEcobici,ICONIC
7736746BAEcobici,2291,2020-05-18 10:38:10 UTC,376BAEcobici,324 - Las Victorias,"4083 Vallese, Felipe",-58.487078,-34.626778,2020-05-18 11:16:21 UTC,376BAEcobici,324 - Las Victorias,"4083 Vallese, Felipe",-58.487078,-34.626778,163718BAEcobici,ICONIC
7737706BAEcobici,1579,2020-05-18 17:26:56 UTC,242BAEcobici,103 - MALBA,3051 San Martin De Tours,-58.403214,-34.57716,2020-05-18 17:53:15 UTC,323BAEcobici,240 - ECHEVERRIA,1981 Vidal,-58.459298,-34.565409,191101BAEcobici,ICONIC
7737479BAEcobici,74,2020-05-18 16:04:55 UTC,299BAEcobici,221 - CULPINA,Culpina 121,-58.466143,-34.631705,2020-05-18 16:06:09 UTC,299BAEcobici,221 - CULPINA,Culpina 121,-58.466143,-34.631705,19219BAEcobici,ICONIC
