long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,50879597;-34,62160927;326;ESC. DE COMERCIO N° 33 MAIPU;2013;4U;1;VIA PUBLICA;ESCUELAS;ALVAREZ JONTE AV.;5075;;Monte Castro;Comuna 10;1407;C1407GPE
-58,41951599;-34,61571479;327;ESC. PRIMARIA COMUN N° 18 DR. ANTONIO BERMEJO;2013;4U;1;VIA PUBLICA;ESCUELAS;BELGRANO AV.;3767;;Almagro;Comuna 5;1210;C1210AAF
-58,41632885;-34,63662787;328;ESC. PRIMARIA COMUN N° 23 PROVINCIA DE ENTRE RIOS;2013;4U;1;VIA PUBLICA;ESCUELAS;BOEDO AV.;1935;;Boedo;Comuna 5;1239;C1239AAJ
-58,41668992;-34,62047099;329;ESC. PRIMARIA COMUN N° 22 MARTINA SILVA DE GURRUCHAGA;2013;4U;1;VIA PUBLICA;ESCUELAS;BOEDO AV.;657;;Almagro;Comuna 5;1218;C1218AAC
-58,41633426;-34,6218166;330;ESC. TECNICA N° 29 RECONQUISTA DE BUENOS AIRES;2013;4U;1;INTERIOR;ESCUELAS;BOEDO AV.;760;;Boedo;Comuna 5;1218;C1218AAQ
-58,49006446;-34,64631744;331;ESC. PRIMARIA COMUN N° 24 SARA DE ELIA DE GIMENEZ;2013;4U;1;VIA PUBLICA;ESCUELAS;BRUIX AV.;4620;;Parque Avellaneda;Comuna 9;1407;C1407IKY
-58,43627351;-34,57479897;332;ESC. TECNICA N° 03 MARIA SANCHEZ DE THOMPSON (SEDE);2013;4U;1;INTERIOR;ESCUELAS;CABILDO AV.;40;;Palermo;Comuna 14;1426;C1426AAN
-58,45490067;-34,63015103;333;LICEO N° 05 PASCUAL GUAGLIANONE;2013;4U;1;INTERIOR;ESCUELAS;CARABOBO AV.;286;;Flores;Comuna 7;1406;C1406DGP
-58,47158972;-34,6657256;334;ESC. PRIMARIA COMUN N° 15 REPUBLICA ARGENTINA;2013;4U;1;VIA PUBLICA;ESCUELAS;CASTAÑARES AV.;4689;;Villa Lugano;Comuna 8;;
-58,50214748;-34,66667409;335;ESC. PRIMARIA COMUN N° 11 EMILIO VON BEHRING;2013;4U;1;VIA PUBLICA;ESCUELAS;CARDENAS, CNEL. AV.;2652;;Mataderos;Comuna 9;1440;C1440EJP
-58,4758759;-34,68731334;336;ESC. PRIMARIA COMUN N° 13 DR. ALFREDO LANARI;2013;4U;1;VIA PUBLICA;ESCUELAS;PIEDRA BUENA AV.;4863;;Villa Riachuelo;Comuna 8;1439;C1439GWF
-58,39512146;-34,59958166;337;ESC. NORMAL SUPERIOR N° 01 EN LENGUAS VIVAS PRESIDENTE R. SAENZ PEÑA;2013;4U;1;INTERIOR;ESCUELAS;CORDOBA AV.;1951;;Recoleta;Comuna 2;1120;C1120AAB
-58,45589908;-34,54290417;338;ESC. DE EDUCACION MEDIA N° 03/10°;2013;4U;1;INTERIOR;ESCUELAS;SANCHEZ, MIGUEL B. AV.;1050;;Nuñez;Comuna 13;;
-58,50436666;-34,66618991;339;ESC. PRIMARIA COMUN N° 14 ISLAS MALVINAS;2013;4U;1;VIA PUBLICA;ESCUELAS;DE LOS CORRALES AV.;7040;;Mataderos;Comuna 9;1440;C1440BBT
-58,46761303;-34,59014675;340;ESC. DE COMERCIO N° 24 DR. DALMACIO VELEZ SARSFIELD;2013;4U;1;INTERIOR;ESCUELAS;DEL CAMPO AV.;1340;;Paternal;Comuna 15;1427;C1427APN
-58,37731049;-34,5917424;341;ESC. TECNICA N° 12 LIBERTADOR GRAL. JOSE DE SAN MARTIN;2013;4U;1;INTERIOR;ESCUELAS;DEL LIBERTADOR AV.;238;;Retiro;Comuna 1;1001;C1001ABP
-58,46636049;-34,53635597;342;ESC. TECNICAS RAGGIO;2013;4U;1;INTERIOR;ESCUELAS;DEL LIBERTADOR AV.;8635;;Nuñez;Comuna 13;1429;C1429BNG
-58,41896357;-34,56475259;343;INST. SUPERIOR DEL PROF. DE EDUC. INICIAL SARA CHAMBERLAIN DE ECCLESTON (SEDE);2013;4U;1;INTERIOR;ESCUELAS;DORREGO AV.;3751;;Palermo;Comuna 14;1425;C1425GBB
-58,39181822;-34,61759428;344;ESC. DE EDUCACION MEDIA N° 01/03°;2013;4U;1;INTERIOR;ESCUELAS;ENTRE RIOS AV.;757;;Balvanera;Comuna 3;1080;C1080ABB
-58,47017998;-34,66450625;345;ESC. DE COMERCIO N° 06 AMERICA;2013;4U;1;INTERIOR;ESCUELAS;ESCALADA AV.;2890;;Villa Lugano;Comuna 8;1439;C1439FHN
-58,4499315;-34,60953884;346;ESC. SUPERIOR DE COMERCIO N° 03 HIPOLITO VIEYTES;2013;4U;1;INTERIOR;ESCUELAS;GAONA AV.;1502;;Caballito;Comuna 6;1416;C1416DRQ
-58,41649754;-34,58171152;347;ESC. TECNICA DE JARDINERIA CRISTOBAL M. HICKEN;2013;4U;1;INTERIOR;ESCUELAS;LAS HERAS GENERAL AV.;4078;;Palermo;Comuna 14;1425;C1425ATR
-58,42090406;-34,65591457;348;ESC. TECNICA N° 33 FUNDICION MAESTRANZA DEL PLUMERILLO;2013;4U;1;INTERIOR;ESCUELAS;RABANAL, FRANCISCO, INTENDENTE AV.;1549;;Nueva Pompeya;Comuna 4;1437;C1437FPC
-58,42875478;-34,65944063;349;ESC. PRIMARIA COMUN N° 08 LUIS FEDERICO LELOIR;2013;4U;1;VIA PUBLICA;ESCUELAS;RABANAL, FRANCISCO, INTENDENTE AV.;2275;;Villa Soldati;Comuna 8;1437;C1437FPJ
-58,43438063;-34,66199802;350;ESC. PRIMARIA COMUN N° 14 CAPITANA MARIA REMEDIOS DEL VALLE;2013;4U;1;VIA PUBLICA;ESCUELAS;RABANAL, FRANCISCO, INTENDENTE AV.;2751;;Villa Soldati;Comuna 8;1437;C1437FQB
-58,43508809;-34,62211823;351;LICEO N° 12 FRAY MAMERTO ESQUIU;2013;4U;1;INTERIOR;ESCUELAS;MORENO, JOSE MARIA AV.;345;;Caballito;Comuna 6;1424;C1424AAD
-58,49296705;-34,64388547;352;ESC. DE BELLAS ARTES ROGELIO YRURTIA;2013;4U;1;INTERIOR;ESCUELAS;ALBERDI, JUAN BAUTISTA AV.;4754;;Parque Avellaneda;Comuna 9;1407;C1407HAO
-58,42005532;-34,63194438;353;ESC. PRIMARIA COMUN N° 26 REPUBLICA DE COLOMBIA;2013;4U;1;VIA PUBLICA;ESCUELAS;GARAY, JUAN DE AV.;3972;;Boedo;Comuna 5;1256;C1256ABV
-58,42651042;-34,62749048;354;ESC. PRIMARIA COMUN N° 06 SAN JOSE DE CALASANZ;2013;4U;1;VIA PUBLICA;ESCUELAS;LA PLATA AV.;1038;;Boedo;Comuna 5;1250;C1250AAN
-58,44426669;-34,65830637;355;ESC. PRIMARIA COMUN N° 16 WILLIAM C. MORRIS;2013;4U;1;VIA PUBLICA;ESCUELAS;LAFUENTE;2670;;Villa Soldati;Comuna 8;1437;C1437BUQ
-58,49942618;-34,65373724;356;ESC. PRIMARIA COMUN N° 03 EDUARDO LADISLAO HOLMBERG;2013;4U;1;VIA PUBLICA;ESCUELAS;LARRAZABAL;1556;;Mataderos;Comuna 9;1440;C1440CUU
-58,47228919;-34,67645861;357;ESC. PRIMARIA COMUN N° 03 CRISTOBAL COLON;2013;4U;1;VIA PUBLICA;ESCUELAS;LARRAZABAL;4051;;Villa Lugano;Comuna 8;1439;C1439EDC
-58,46592841;-34,68007397;358;ESC. PRIMARIA COMUN N° 05 ARMADA ARGENTINA;2013;4U;1;VIA PUBLICA;ESCUELAS;LARRAZABAL AV.;4520;;Villa Lugano;Comuna 8;1439;C1439EEN
-58,46086186;-34,68418877;359;ESC. PRIMARIA COMUN N° 10 ITALO AMERICO FORADORI;2013;4U;1;VIA PUBLICA;ESCUELAS;LARRAZABAL AV.;5001;;Villa Lugano;Comuna 8;1439;C1439EEF
-58,45867206;-34,68532947;360;ESC. DE COMERCIO N° 35 LEOPOLDO MARECHAL;2013;4U;1;INTERIOR;ESCUELAS;LARRAZABAL AV.;5140;;Villa Lugano;Comuna 8;1439;C1439EET
-58,45867206;-34,68532947;361;ESC. DE EDUCACION MEDIA N° 06/21°;2013;4U;1;INTERIOR;ESCUELAS;LARRAZABAL AV.;5140;;Villa Lugano;Comuna 8;1439;C1439EET
-58,45851561;-34,68540497;362;ESC. PRIMARIA COMUN N° 02 MAESTRO EDUARDO LUIS VICENTE;2013;4U;1;VIA PUBLICA;ESCUELAS;LARRAZABAL AV.;0;ROCA, CNEL. AV.;Villa Lugano;Comuna 8;;
-58,37576898;-34,63371233;363;ESC. PRIMARIA COMUN N° 03 BERNARDO DE IRIGOYEN;2013;4U;1;VIA PUBLICA;ESCUELAS;MONTES DE OCA, MANUEL AV.;439;;Barracas;Comuna 4;1270;C1270AAE
-58,46616385;-34,56186343;364;ESC. DE COMERCIO N° 07 MANUEL BELGRANO;2013;4U;1;INTERIOR;ESCUELAS;MONROE;3061;;Belgrano;Comuna 13;1428;C1428BLY
-58,46937948;-34,6718965;365;ESC. PRIMARIA COMUN N° 04 PROVINCIA DE TUCUMAN;2013;4U;1;VIA PUBLICA;ESCUELAS;RIESTRA AV.;5030;;Villa Lugano;Comuna 8;1439;C1439BYO
-58,41693063;-34,6107702;366;COLEGIO N° 03 MARIANO MORENO;2013;4U;1;INTERIOR;ESCUELAS;RIVADAVIA AV.;3577;;Almagro;Comuna 5;1204;C1204AAA
-58,4353155;-34,61791686;367;ESC. NORMAL SUPERIOR N° 04 ESTANISLAO SEVERO ZEBALLOS;2013;4U;1;INTERIOR;ESCUELAS;RIVADAVIA AV.;4950;;Caballito;Comuna 6;1424;C1424CER
-58,4353155;-34,61791686;368;LICEO N° 02 AMANCIO ALCORTA;2013;4U;1;INTERIOR;ESCUELAS;RIVADAVIA AV.;4950;;Caballito;Comuna 6;1424;C1424CER
-58,39579323;-34,59899999;369;LICEO N° 04 REMEDIOS DE ESCALADA DE SAN MARTIN;2013;4U;1;INTERIOR;ESCUELAS;AYACUCHO;875;;Recoleta;Comuna 2;1111;C1111AAA
-58,37306628;-34,64342133;370;COLEGIO N° 11 HIPOLITO YRIGOYEN;2013;4U;1;INTERIOR;ESCUELAS;QUINQUELA MARTIN, BENITO;1649;;Barracas;Comuna 4;1296;C1296ADG
-58,46374274;-34,6889411;371;ESC. PRIMARIA COMUN N° 09 HECTOR PANIZZA;2013;4U;1;VIA PUBLICA;ESCUELAS;BERON DE ASTRADA;5920;;Villa Lugano;Comuna 8;1439;C1439DPB
-58,46714625;-34,69189177;372;ESC. PRIMARIA COMUN N° 16 DR. SOFANOR NOVILLO CORVALAN;2013;4U;1;VIA PUBLICA;ESCUELAS;BERON DE ASTRADA;6351;;Villa Riachuelo;Comuna 8;1439;C1439DPI
-58,46925042;-34,62672477;373;ESC. DE EDUCACION MEDIA N° 01/12° JULIO CORTAZAR;2013;4U;1;INTERIOR;ESCUELAS;BOGOTA;2759;;Flores;Comuna 7;1406;C1406GBY
-58,49736643;-34,64906544;374;ESC. PRIMARIA COMUN N° 13 PROF. LUZ VIEIRA MENDEZ;2013;4U;1;VIA PUBLICA;ESCUELAS;BRAGADO;5350;;Mataderos;Comuna 9;1440;C1440ACJ
-58,41844483;-34,61038381;375;ESC. DE CERAMICA N° 01;2013;4U;1;INTERIOR;ESCUELAS;BULNES;45;;Almagro;Comuna 5;1176;C1176AAA
-58,46644442;-34,68668771;376;ESC. PRIMARIA COMUN N° 01 CONCEJAL ALBERTO SALVATORI;2013;4U;1;VIA PUBLICA;ESCUELAS;CAFAYATE;5115;;Villa Lugano;Comuna 8;1439;C1439FUW
-58,46364697;-34,68844949;377;ESC. PRIMARIA COMUN N° 15 DR. CARLOS ALBERTO VERONELLI;2013;4U;1;VIA PUBLICA;ESCUELAS;CAFAYATE;5388;;Villa Lugano;Comuna 8;1439;C1439IEB
-58,4864811;-34,67605143;378;ESC. DE EDUCACION MEDIA N° 02/20°;2013;4U;1;INTERIOR;ESCUELAS;CAÑADA DE GOMEZ;3850;;Villa Lugano;Comuna 8;;
-58,47793617;-34,68299866;379;ESC. PRIMARIA COMUN N° 14 DR. RICARDO LEVENE;2013;4U;1;VIA PUBLICA;ESCUELAS;CAÑADA DE GOMEZ;4548;;Villa Lugano;Comuna 8;;
